OTU ID	Al.8C9	PGFC.9	Al.3B1	Al.7E6	Az.D5	PGFC.4	Al.3H3	Al.93A1	Al.90G2	Ac.95G2	PGFC.1	Az.F9	PGFC.2	Az.H2	Al.90A4	Al.8A7	Al.3G1	Az.H10	Az.B8	Al.90H10	Az.H3	PGFC.6	Ac.95G1	Al.7D12	Al.8F4	Az.E7	Az.D11	Az.D8	Az.G9	PGFC.8	Az.A8	Al.7E7	Al.90G3	Al.18H5	Az.G11	Az.F10	Az.A7	Az.A3	Ac.95G4	Az.B11	Al.3F2	PGFC.5	Ac.95G7	Az.G4	Az.D2	Ac.95F2	Az.B12	Az.C9	Av.A5	Al.90H9	Az.A10	Al.7C8	PGFC.3	Az.C12	PGFC.7	Ac.95G3	Al.90H7	Az.B1	Al.7d9	Al.4A10	Az.E5	Al.7D7	Ac.95F7	Al.7E3	Av.H12	Al.7D11	Al.8A6	Al.3G11	Ac.95F6	PGFC.10	Al.4B7	Al.90H5	Az.H11	Az.A2	Az.D6	Az.E6
94ca1389331a3a9230237844cfd545f6	10858.0	462.0	2413.0	1009.0	0.0	0.0	73.0	59.0	24.0	1621.0	21.0	51.0	994.0	0.0	7021.0	6105.0	24507.0	0.0	51.0	18.0	0.0	417.0	94.0	664.0	146.0	11.0	28.0	0.0	0.0	19.0	0.0	1498.0	69.0	11674.0	11.0	0.0	0.0	37.0	2232.0	0.0	0.0	432.0	180.0	0.0	0.0	19.0	0.0	7.0	0.0	27.0	8.0	392.0	0.0	1.0	11.0	646.0	225.0	59.0	714.0	17618.0	1.0	17969.0	18.0	1628.0	3.0	303.0	4425.0	2283.0	73.0	158.0	11593.0	37.0	0.0	1242.0	0.0	0.0
909755d7142ea53c7f61c97c3586f26c	10004.0	940.0	628.0	70.0	0.0	409.0	16.0	32.0	198.0	721.0	189.0	0.0	2468.0	5.0	5316.0	1226.0	1024.0	13.0	29.0	104.0	3.0	4433.0	10808.0	2808.0	87.0	66.0	266.0	32.0	0.0	621.0	128.0	1114.0	194.0	6.0	18.0	4.0	85.0	423.0	648.0	211.0	538.0	141.0	261.0	4.0	0.0	31.0	60.0	1.0	735.0	289.0	0.0	367.0	8814.0	2.0	462.0	3516.0	2339.0	0.0	534.0	3213.0	63.0	81.0	66.0	188.0	5.0	22.0	8.0	525.0	139.0	2907.0	590.0	10522.0	55.0	185.0	3.0	72.0
955d8fcbb35e8bc04c8df0c6aae34d34	7796.0	356.0	403.0	142.0	0.0	31.0	265.0	98.0	478.0	93.0	3.0	18.0	86.0	0.0	830.0	697.0	383.0	102.0	10.0	23.0	354.0	910.0	54.0	98.0	485.0	226.0	0.0	148.0	0.0	17.0	196.0	0.0	424.0	16.0	80.0	21.0	23.0	508.0	5.0	0.0	17.0	271.0	30.0	0.0	70.0	52.0	155.0	276.0	3014.0	397.0	182.0	67.0	0.0	0.0	69.0	10.0	146.0	5.0	278.0	250.0	144.0	19.0	32.0	169.0	93.0	140.0	2031.0	511.0	104.0	141.0	6067.0	93.0	0.0	84.0	373.0	201.0
4824fe87ef1413e49af31eb4e00ddbd1	7467.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4893.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	411.0	0.0	0.0	0.0	0.0	2.0	0.0	6429.0	0.0	0.0	0.0	596.0	0.0	0.0	0.0	0.0	0.0
4fe49fe5c1015cb0a948e5b8a085d860	6706.0	18811.0	7414.0	439.0	112.0	1164.0	3149.0	744.0	328.0	946.0	403.0	105.0	0.0	816.0	3096.0	2747.0	3406.0	356.0	117.0	0.0	290.0	13927.0	3028.0	6057.0	437.0	374.0	36.0	134.0	0.0	216.0	292.0	40138.0	365.0	47.0	6.0	274.0	25.0	16.0	176.0	513.0	640.0	15421.0	244.0	108.0	243.0	33.0	244.0	0.0	0.0	383.0	0.0	6211.0	2776.0	0.0	210.0	421.0	324.0	8.0	3113.0	6162.0	28.0	485.0	57.0	13228.0	1.0	1055.0	2713.0	6647.0	53.0	4194.0	6477.0	0.0	10.0	397.0	603.0	415.0
5747992ec8974831558f048e9924dad4	4977.0	0.0	2289.0	49.0	0.0	71.0	0.0	2.0	179.0	747.0	0.0	0.0	0.0	0.0	19855.0	15501.0	373.0	328.0	0.0	0.0	209.0	0.0	4352.0	0.0	262.0	751.0	360.0	20.0	0.0	0.0	136.0	0.0	43.0	7.0	5.0	502.0	214.0	0.0	1034.0	306.0	0.0	0.0	666.0	2775.0	1.0	26.0	2.0	154.0	484.0	86.0	1992.0	0.0	181.0	3.0	37.0	2785.0	792.0	68.0	72.0	1805.0	95.0	22.0	34.0	0.0	1.0	0.0	1381.0	885.0	654.0	0.0	1370.0	14541.0	8.0	286.0	0.0	0.0
ddabebce14259b11d2fcdd6853592e5f	4947.0	11.0	2827.0	137.0	0.0	7.0	0.0	122.0	257.0	163.0	2.0	190.0	15.0	0.0	194.0	1001.0	27.0	214.0	0.0	6.0	299.0	3.0	261.0	10.0	171.0	68.0	131.0	5691.0	0.0	0.0	227.0	33.0	469.0	9.0	1.0	0.0	120.0	0.0	83.0	194.0	12.0	3.0	179.0	266.0	335.0	12.0	231.0	61.0	0.0	611.0	22.0	941.0	3.0	694.0	3.0	12.0	39.0	37.0	136.0	900.0	72.0	16.0	95.0	205.0	2.0	5.0	3.0	5913.0	39.0	10.0	1983.0	144.0	19.0	279.0	521.0	446.0
aed55e21a8ab7b33d80aac2beed3aaa8	4107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1657.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10538.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	1308.0	0.0	0.0	0.0	0.0	0.0
8992381f7d3d5af45d162e2f4b38d01b	1961.0	0.0	30.0	0.0	0.0	0.0	0.0	811.0	132.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1432.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	977.0	0.0	0.0	0.0	0.0	4470.0	0.0	0.0	81.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5083.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	74.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	566.0	0.0	0.0	0.0	0.0	0.0	0.0	10400.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	211.0
cb73fa621a4b284ae7461d16c783186a	1816.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
